Customer ID,Age Group,Age,Gender,Item Purchased,Category,Purchase Amount(PKR),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,Middl- Aged,55,Male,Blouse,Clothing,3710,Faisalabad,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly
2,Young Adult,19,Male,Sweater,Clothing,4480,AJK,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
3,Middl- Aged,50,Male,Jeans,Clothing,5110,Muzafarabad,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,Young Adult,21,Male,Sandals,Footwear,6300,Rawalpindi,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
5,Middl- Aged,45,Male,Blouse,Clothing,3430,Islamabad,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
6,Middl- Aged,46,Male,Sneakers,Footwear,1400,Islamabad,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly
7,Senior,63,Male,Shirt,Clothing,5950,Mianwali,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,Adult,27,Male,Shorts,Clothing,2380,Faisalabad,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,Adult,26,Male,Coat,Outerwear,6790,Lahore,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually
10,Middl- Aged,57,Male,Handbag,Accessories,2170,Mirpur,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,Middl- Aged,53,Male,Shoes,Footwear,2380,Hyderabad,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,Adult,30,Male,Shorts,Clothing,4760,Gujrat,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,Senior,61,Male,Coat,Outerwear,5040,Multan,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
14,Senior,65,Male,Dress,Clothing,3570,Peshawar,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
15,Senior,64,Male,Coat,Outerwear,3710,Karachi,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,Senior,64,Male,Skirt,Clothing,5670,Rawalpindi,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
17,Adult,25,Male,Sunglasses,Accessories,2520,Multan,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
18,Middl- Aged,53,Male,Dress,Clothing,2660,Kharian,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
19,Middl- Aged,52,Male,Sweater,Clothing,3360,Mianwali,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
20,Senior,66,Male,Pants,Clothing,6300,Rawalpindi,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,Young Adult,21,Male,Pants,Clothing,3570,Faisalabad,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
22,Adult,31,Male,Pants,Clothing,4340,Peshawar,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,Middl- Aged,56,Male,Pants,Clothing,2590,Lahore,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
